"hh_number","hh_size_1","hh_size_2","hh_size_3","hh_size_4","hh_size_5","hh_size_6","hh_size_7"
1,1,1,2,1,1,6,1
2,1,1,2,2,2,5,2
3,1,2,1,2,5,4,5
4,1,1,1,3,1,1,7
5,1,1,1,3,3,6,6
6,1,2,1,2,4,6,4
7,1,1,3,2,4,1,3
8,1,1,1,1,5,1,6
9,1,2,2,1,5,3,4
10,1,1,3,2,5,5,7
11,1,2,3,4,4,1,4
12,1,2,3,3,5,6,5
13,1,1,2,1,2,6,6
14,1,1,2,2,5,6,1
15,1,2,2,1,1,4,5
16,1,1,1,1,5,2,3
17,1,2,1,2,1,3,2
18,1,2,1,1,5,4,5
19,1,2,2,3,2,3,5
20,1,2,3,2,3,1,7
21,1,2,3,3,5,1,1
22,1,2,2,3,3,5,4
23,1,2,1,4,3,3,2
24,1,2,3,2,2,1,3
25,1,2,1,2,1,6,4
26,1,1,3,4,4,1,3
27,1,2,1,4,2,6,3
28,1,1,1,1,1,5,5
29,1,2,3,2,2,3,4
30,1,1,1,4,5,3,6
31,1,1,2,2,2,2,2
32,1,1,1,3,4,3,5
33,1,2,3,3,3,2,2
34,1,2,2,1,3,5,3
35,1,2,2,1,5,4,1
36,1,1,1,4,2,3,6
37,1,2,1,2,4,3,2
38,1,2,1,1,5,2,7
39,1,2,2,2,3,3,4
40,1,1,1,1,5,2,3
41,1,2,1,1,3,2,3
42,1,2,3,1,5,6,7
43,1,2,2,2,1,4,3
44,1,2,2,3,4,6,4
45,1,2,2,3,5,5,6
46,1,2,2,3,3,2,5
47,1,1,2,1,1,4,5
48,1,1,3,4,5,5,7
49,1,1,3,3,2,3,4
50,1,1,3,3,2,5,4
51,1,1,2,3,4,6,7
52,1,2,3,3,1,5,5
53,1,1,1,1,4,2,4
54,1,1,1,4,1,3,1
55,1,1,3,2,4,5,1
56,1,2,1,4,1,4,7
57,1,1,1,2,3,5,1
58,1,2,2,1,1,6,2
59,1,2,3,1,3,6,1
60,1,2,3,1,2,4,2
61,1,1,2,4,5,5,7
62,1,2,1,1,2,4,4
63,1,1,3,2,4,1,4
64,1,1,3,4,4,6,2
65,1,2,3,3,1,3,6
66,1,2,1,3,2,1,7
67,1,1,3,4,4,5,2
68,1,1,2,1,1,3,6
69,1,1,3,3,2,3,6
70,1,2,1,4,5,4,1
71,1,2,2,2,1,4,2
72,1,2,2,3,4,6,4
73,1,1,3,3,4,1,7
74,1,2,2,1,5,5,5
75,1,2,1,1,5,2,7
76,1,2,2,3,4,5,7
77,1,2,3,2,4,3,5
78,1,1,1,3,5,5,5
79,1,2,1,3,4,3,6
80,1,1,1,1,4,6,6
81,1,2,3,3,4,6,6
82,1,2,1,3,1,5,5
83,1,2,1,4,1,5,5
84,1,2,1,3,3,5,2
85,1,2,2,4,4,3,6
86,1,2,2,4,1,5,1
87,1,2,2,4,2,1,6
88,1,1,1,2,1,1,3
89,1,2,1,1,3,4,2
90,1,1,1,1,1,4,7
91,1,1,2,4,2,4,2
92,1,2,1,3,4,6,2
93,1,2,2,2,4,6,5
94,1,2,1,2,2,6,4
95,1,2,1,2,5,6,7
96,1,1,2,3,2,6,1
97,1,1,1,1,4,6,5
98,1,2,3,2,5,6,2
99,1,2,1,3,5,4,7
100,1,2,2,3,5,6,7
101,1,1,3,4,4,2,2
102,1,2,3,3,1,6,5
103,1,1,2,4,2,1,2
104,1,1,2,3,4,1,2
105,1,1,2,2,4,6,6
106,1,2,1,2,3,2,4
107,1,2,1,4,4,2,4
108,1,2,3,4,4,2,2
109,1,1,2,1,5,5,6
110,1,2,1,4,5,3,2
111,1,1,1,4,3,5,2
112,1,2,3,3,4,6,1
113,1,1,2,3,4,1,5
114,1,1,3,2,5,2,1
115,1,1,1,1,1,5,7
116,1,2,1,2,5,2,4
117,1,2,2,2,3,6,1
118,1,1,1,4,5,6,3
119,1,2,1,4,2,2,7
120,1,1,2,4,4,6,4
121,1,1,1,3,5,6,2
122,1,2,3,2,3,6,1
123,1,2,2,4,5,6,4
124,1,1,2,1,4,4,4
125,1,2,2,2,4,6,2
126,1,1,2,3,2,6,4
127,1,2,2,1,2,3,5
128,1,2,2,3,3,4,4
129,1,2,2,4,5,5,1
130,1,1,3,4,4,4,1
131,1,2,1,2,3,1,5
132,1,1,2,1,3,3,6
133,1,1,3,1,3,3,5
134,1,1,2,3,1,3,3
135,1,1,2,1,5,2,1
136,1,2,2,1,4,3,7
137,1,2,2,3,2,6,2
138,1,1,1,1,4,1,7
139,1,1,3,4,3,1,1
140,1,1,3,3,3,3,6
141,1,1,2,4,4,5,5
142,1,2,2,1,1,1,4
143,1,1,2,1,4,5,2
144,1,1,3,3,4,4,4
145,1,1,1,4,1,4,4
146,1,2,2,3,1,2,3
147,1,2,3,1,2,2,6
148,1,1,3,4,2,4,6
149,1,1,3,1,4,4,4
150,1,1,2,4,4,6,7
151,1,1,1,2,3,5,2
152,1,2,3,2,5,3,3
153,1,2,1,4,2,5,7
154,1,1,1,3,1,6,4
155,1,2,3,1,4,6,7
156,1,2,1,2,3,1,2
157,1,2,3,1,3,6,4
158,1,1,2,1,2,1,6
159,1,2,3,1,5,5,3
160,1,1,2,3,5,3,5
161,1,2,1,3,4,5,3
162,1,2,1,4,2,4,7
163,1,1,2,2,4,4,7
164,1,2,1,3,5,4,4
165,1,1,3,1,3,3,1
166,1,2,2,3,5,2,7
167,1,2,2,1,2,4,7
168,1,2,2,2,3,3,6
169,1,1,2,3,5,2,6
170,1,1,3,2,4,6,4
171,1,2,2,1,5,6,4
172,1,2,2,4,4,6,6
173,1,1,1,3,2,5,6
174,1,1,1,2,4,3,1
175,1,2,1,2,4,2,1
176,1,2,1,1,5,5,2
177,1,1,1,1,5,3,6
178,1,1,1,2,2,5,4
179,1,2,1,3,2,4,4
180,1,1,2,1,4,3,6
181,1,1,3,1,2,4,4
182,1,2,1,2,3,1,6
183,1,1,1,1,3,3,1
184,1,2,1,1,2,1,5
185,1,1,2,2,5,1,6
186,1,1,2,2,3,4,5
187,1,1,1,1,3,4,3
188,1,2,2,4,2,4,2
189,1,1,1,1,1,5,3
190,1,1,3,2,2,6,1
191,1,1,1,1,1,2,5
192,1,2,3,1,4,1,6
193,1,1,1,4,5,6,6
194,1,2,1,2,3,2,6
195,1,1,3,2,2,6,7
196,1,1,1,4,4,4,7
197,1,2,3,2,2,4,3
198,1,2,3,2,4,4,3
199,1,2,3,4,3,1,7
200,1,1,3,4,5,6,5
201,1,1,1,3,2,4,4
202,1,1,1,4,5,3,4
203,1,2,1,2,3,4,1
204,1,2,2,3,3,4,6
205,1,1,3,2,1,4,3
206,1,1,1,4,1,5,7
207,1,1,1,3,4,2,3
208,1,1,2,4,3,3,3
209,1,2,2,1,4,1,5
210,1,1,1,3,5,4,4
211,1,1,1,2,1,5,2
212,1,2,3,3,5,1,4
213,1,2,3,1,1,6,5
214,1,2,2,4,5,4,2
215,1,2,2,4,5,6,4
216,1,1,1,2,3,2,4
217,1,2,1,3,5,5,7
218,1,1,3,4,4,4,4
219,1,1,1,1,2,3,4
220,1,2,3,4,3,2,1
221,1,2,1,4,5,2,2
222,1,1,2,1,1,4,7
223,1,1,3,4,3,1,4
224,1,2,1,2,3,4,2
225,1,1,1,3,5,3,4
226,1,1,2,2,1,2,1
227,1,1,2,3,4,3,4
228,1,1,1,3,3,3,4
229,1,2,2,1,4,5,4
230,1,1,3,1,2,1,5
231,1,1,1,4,2,4,3
232,1,2,3,3,4,5,7
233,1,1,1,2,3,6,1
234,1,1,2,2,4,5,3
235,1,2,2,2,4,1,4
236,1,1,2,4,2,6,5
237,1,2,3,2,1,4,2
238,1,1,1,3,3,2,4
239,1,2,1,1,4,4,5
240,1,2,3,3,5,6,1
241,1,1,1,3,4,6,4
242,1,2,2,1,1,6,5
243,1,2,3,1,4,1,7
244,1,2,2,3,1,1,6
245,1,1,3,1,1,3,3
246,1,1,1,1,3,1,4
247,1,1,3,4,5,1,5
248,1,2,3,4,4,6,2
249,1,1,1,2,2,2,4
250,1,1,1,2,5,2,3
251,1,2,1,2,4,5,5
252,1,1,2,4,5,2,5
253,1,1,1,1,1,4,3
